번호,형태소,파일명,전체경로
20005,금융사,18139_사.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/18139_사.mp4
20010,부득이한,12571_할수없다.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/12571_할수없다.mp4
20017,서명,"12915_쓰다,적다.mp4","C:/Users/SSAFY/Desktop/A301/downloaded_videos/12915_쓰다,적다.mp4"
20019,설명서와,16889_그리고.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/16889_그리고.mp4
20020,신규,"14306_새롭다,신.mp4","C:/Users/SSAFY/Desktop/A301/downloaded_videos/14306_새롭다,신.mp4"
20021,신규일,14306_신.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/14306_신.mp4
20021,신규일,14618_날짜.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/14618_날짜.mp4
20023,실적에,224_에1.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/224_에1.mp4
20028,요청권,1837_요청.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/1837_요청.mp4
20029,용지로,13874_용지.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/13874_용지.mp4
20029,용지로,3140_로1.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/3140_로1.mp4
20030,우대,12779_대우.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/12779_대우.mp4
20032,이에,226_에.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/226_에.mp4
20039,전이라도,275_이라도.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/275_이라도.mp4
20045,타인에게,227(에게)_에게.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/227(에게)_에게.mp4
20048,하였음,14244_었.mp4,C:/Users/SSAFY/Desktop/A301/downloaded_videos/14244_었.mp4
