형태소,file_name,file_num
%,,
0,,
0.3%p,,
0.5%p,,
1,,
"1,000,000",,
"1,234,567",,
100000,,
1000000,,
12,,
1234,,
1만원,,
2,2,10434
2.85,,
2024-12-31,,
2024.11.08,,
24,,
3,,
3,,
300000,,
300만원,,
30만원,,
36,,
4.3,,
4.50%,,
4.85%,,
431402-04-174943,,
"5,000,000",,
"5,678,901",,
500000,,
5678,,
6,,
6개월마다,,
8,,
"9,012,345",,
English,,
KB,,
PC,,
가계,가계,8605
가능,가능,14042
가능한,,
가입,가입,14472
가입이,,
강요,강요,18144
개설한,,
개요,,
개월,개월,16393
개인,개인,12029
거래,거래,13851
거래를,,
거래처,,
거래처가,,
거치식,,
경우,경우,14321
계좌,,
고객,고객,14920
고객의,,
고시,고시,18245
공동,공동,8196
공용,,
공정,,
과,과,12331
구분,구분,13617
국민,국민,13519
권리,권리,18018
권리가,,
그,그,15567
그러나,그러나,16526
그룹,그룹,11645
글자,글자,16698
금리,금리,17639
금리가,,
금리는,,
금액,금액,17884
금융,금융,15812
금융사,,
급여,,
급여하나,,
기간,기간,11528
기관,기관,18
기기,,
기본,기본,14683
까지,까지,15213
납입,납입,15599
낮은,,
내,내,12455
내역,내역,14178
내용,내용,14176
내준,,
노출,노출,5892
님,,
다른,,
다만,다만,15409
다양한,,
다음,다음,12962
당시,,
당행,,
대상,,
대출,,
대하여,,
대해,,
동의,동의,16245
되며,,
되었,,
될,,
됩니다,,
등,,
디스크,디스크,4682
따라,따라,7745
따라야,,
때,때,14320
때는,,
또는,,
로그아웃,로그아웃,7701
로그인,로그인,15939
로컬,,
마세요,,
만기,만기,1721
만기일,만기일,7503
만료일,,
말한다,,
맞는,,
매체,,
메뉴,메뉴,17896
면제,면제,12895
모든,모든,13214
모바일,,
미리,미리,13042
미사용,,
및,,
바랍니다,,
바에,,
밖에,밖에,12575
반드시,,
받고,,
받는,,
발급자,,
방법,방법,16974
번호,번호,15744
범위,,
변경,변경,12889
변동,변동,12890
보다,보다,11409
보시기,,
보안,보안,4892
본인,본인,13508
부득이한,,
불특정,,
브라우저,,
비교,비교,15133
비밀번호,,
비밀번호는,,
사업자,,
사업자등록증,,
사용,사용,14912
사용자,사용자,15970
사용중,,
사이,사이,11527
사정,사정,13337
사항,사항,14179
상담,상담,14808
상세,,
상품,상품,17391
상품명,,
서류,서류,14580
서명,,
선택,선택,13499
설명,설명,14142
설명서,,
설명서와,,
성공적으로,,
세금,,
센터,센터,16007
소비자,소비자,15971
수,수,13547
수수료,수수료,17891
수표,수표,11204
습니다,,
시,시,16443
시기,시기,14322
신규,,
신규일,,
신규한,,
신용,신용,16203
신한,,
실명,실명,16540
실명의,,
실적,,
실적에,,
쓰는,,
아이디,,
안내,안내,14197
안전하게,,
안전한,,
않아야,,
알림,,
암호,,
약관,약관,9178
약관을,,
약정,약정,2150
약정한,,
어음,어음,1854
없이도,,
에서,에서,7730
연,연,18168
영업점,,
예금,예금,15392
예약,예약,13916
완료,,
요구,요구,18374
요소,,
요청권,,
용지로,,
우대,,
우리,우리,14502
원,원,18306
원금,원금,16427
원금이,,
월,월,17134
월복리,,
위,위,11904
위하여,,
위한,,
위해,,
위험,위험,15683
유의,,
으로,,
은행,은행,15813
이,이,12822
이나,,
이상,이상,11905
이에,,
이용,이용,14915
이전,이전,13291
이체,,
이하,이하,13561
이해,이해,18002
이후,이후,14374
인증서,,
인증서로,,
인터넷,인터넷,15955
일반,일반,17578
일자,일자,14619
읽어,,
입금,,
입력,입력,5295
입출금,,
있고,,
있다,있다,15651
있습니다,,
있을,,
자동,자동,16846
자산,,
자신,자신,14354
자유로운,,
자유롭고,,
자주,자주,13456
작성,작성,16169
잔액,잔액,14629
장소,장소,12206
저축,저축,15391
적금,적금,15393
적립식,,
적용,,
전,전,13334
전산,,
전이라도,,
전자,전자,13380
전체,전체,13212
전화,전화,12950
절대,절대,12797
정보,정보,15132
정보는,,
정하고,,
정하는,,
정한,,
정확,정확,13961
제1조,,
제2조,,
제3조,,
제4조,,
제공,제공,17498
제시나,,
제출,제출,14220
조건,조건,13087
조회,,
종류,종류,15877
주,주,522
주기적으로,,
주민등록증,,
주의,주의,14152
중도,중도,14561
중에,,
중요한,,
증표,,
지급,지급,15600
직장인을,,
찾기,찾기,5315
철회,,
철회가,,
철회권,,
청구,,
청약,,
최고,최고,14814
최대,,
최저,,
추천,,
출금,출금,16174
충분한,,
충분히,,
취소,,
카드,카드,12258
클라우드,,
타인에게,,
통신,통신,15963
통장,통장,11913
통하여,,
투자,투자,16804
특약,,
특정,,
특징,,
판매,판매,18258
포인트리,,
표시,표시,15273
필수,필수,12375
필요한,,
하게,,
하고,하고,17690
하기,,
하나,하나,17087
하는,,
하세요,,
하시기,,
하여,,
하여야,,
하였음,,
하지,,
한다,,
한도,한도,12923
할,,
합니다,,
항목,,
해야,,
해지,해지,16317
현재,현재,12767
현황,,
혜택,,
확인,,
확장,확장,13360
환율,,
회원,회원,15267
후,후,14375
희망,희망,15842
히,,
