경제용어,뜻풀이,수어표현,url
1인미디어,1인 방송, 혼자+방송,[http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632433/MOV000255353_700X466.mp4, http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632248/MOV000254570_700X466.mp4 ]
1코노미,1인 경제, 혼자+경제,[http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632433/MOV000255353_700X466.mp4, http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251913/MOV000264812_700X466.mp4]
A/S,뒤 관리,수리,[http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200818/730511/MOV000246002_700X466.mp4] ,
AEO,수출입 안전관리 우수업체,수출입 은행, [http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/287320/MOV000291529_700X466.mp4],
AI,인공 지능,,,
AIIB,아시아인프라투자은행,,,
AMRO,역내 거시경제조사기구,,,
APEC,아시아태평양경제협력체,,,
AR,증강현실,,,
ASEAN,동남아시아 국가 연합,,,
ASF,아프리카돼지열병,,,
aT,한국농수산식품유통공사,,,
ATM,현금자동입출금기,,,
B2B,기업 간 거래,,,
B2C,기업·소비자 거래,,,
C-ITS,차세대 지능형 교통체계,,,
CEPA,포괄적 경제동반자 협정,,,
CES,국제전자제품박람회,,,
COVID19,코로나19,,,
CPR,심폐소생술,,,
CPU,중앙 처리 장치,,,
CS,고객 만족,,,
DIY,손수 제작,,,
DM,우편 광고,,,
DNA,유전자,,,
e-모빌리티,전기 이동수단,,,
e-커머스,전자 상거래,,,
ECLAC,유엔 중남미·카리브 경제위원회,,,
EDCF,대외경제협력기금,,,
EEZ,배타적경제수역,,,
EFTA,유럽자유무역연합,,,
ESCAP,아시아태평양경제사회위원회,,,
ETRI,한국전자통신연구원,,,
EU,유럽 연합,,,
EV,전기자동차,,,
FATF,국제자금세탁방지기구,,,
FDI,외국인직접투자,,,
FTA,자유 무역 협정,,,
G20,주요 20개국,,,
G2G,정부 간 거래,,,
GAP,농산물우수관리,,,
GDP,국내 총생산,,,
GDPR,유럽연합 개인정보보호법,,,
GH,경기주택도시공사,,,
GIS,지리 정보 시스템,,,
GNI,국민총소득,,,
GRDP,지역내총생산,,,
GVC,국제 가치 사슬,,,
HACCP,식품 안전 관리 인증 기준,,,
