NO,단어,URL
1,국민 발안제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288119/MOV000294940_700X466.mp4
2,담보물,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221013/1039279/MOV000360306_700X466.mp4
3,국외 중립,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288138/MOV000295038_700X466.mp4
4,국권,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288114/MOV000294918_700X466.mp4
5,통신,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/271913/MOV000273379_700X466.mp4
6,국적,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624342/MOV000240941_700X466.mp4
7,국가유공자,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221024/1043993/MOV000361118_700X466.mp4
8,관료 내각,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288053/MOV000294625_700X466.mp4
9,건강장애,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221021/1043259/MOV000361113_700X466.mp4
10,교서권,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288066/MOV000294694_700X466.mp4
11,유출,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221107/1049654/MOV000361253_700X466.mp4
12,유포,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727740/MOV000234446_700X466.mp4
13,가족설,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251953/MOV000264979_700X466.mp4
14,공화 제도,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252043/MOV000265409_700X466.mp4
15,검찰청,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221021/1043257/MOV000361111_700X466.mp4
16,골,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732296/MOV000253655_700X466.mp4
17,군법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221021/1043085/MOV000361061_700X466.mp4
18,기관,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221021/1043253/MOV000361107_700X466.mp4
19,금부처,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221107/1049652/MOV000361251_700X466.mp4
20,핵 확산 방지 조약,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289454/MOV000301940_700X466.mp4
21,합병 선거,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289440/MOV000301865_700X466.mp4
22,판무관,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289369/MOV000301474_700X466.mp4
23,과속운전,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1040110/MOV000360593_700X466.mp4
24,평균 지권,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289388/MOV000301576_700X466.mp4
25,해운 정책,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289450/MOV000301912_700X466.mp4
26,해양 정치학,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289448/MOV000301899_700X466.mp4
27,노이로제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/263094/MOV000269838_700X466.mp4
28,피보호국,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289427/MOV000301791_700X466.mp4
29,평등 선거제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289390/MOV000301584_700X466.mp4
30,국권당,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288115/MOV000294922_700X466.mp4
31,신호,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221019/1042435/MOV000360977_700X466.mp4
32,핵 안보 정상 회의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289452/MOV000301925_700X466.mp4
33,합중국,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289442/MOV000301872_700X466.mp4
34,교육법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221019/1042419/MOV000360967_700X466.mp4
35,국방부,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221019/1042311/MOV000360960_700X466.mp4
36,국법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1039930/MOV000360477_700X466.mp4
37,개발 독재,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251970/MOV000265060_700X466.mp4
38,국가 독점 자본,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288084/MOV000294777_700X466.mp4
39,국민 소환제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288122/MOV000294956_700X466.mp4
40,국방백서,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288132/MOV000295008_700X466.mp4
