단어,URL,설명
국민 발안제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288119/MOV000294940_700X466.mp4,일정 수 이상의 국민이 헌법 개정안이나 법률안을 직접 제안하는 제도.
담보물,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221013/1039279/MOV000360306_700X466.mp4,"민법에서, 채무자가 채무를 이행하지 못할 때를 대비하여 채무의 대가가 될 수 있도록 채권자에게 제공하는 물건. 동산, 부동산, 채권 증서 따위가 이용된다."
국외 중립,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288138/MOV000295038_700X466.mp4,교전국의 어느 쪽도 편들지 않고 평화적 관계를 유지하는 상태에 있는 일.
국권,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288114/MOV000294918_700X466.mp4,국가가 행사하는 권력. 주권과 통치권을 이른다.
통신,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/271913/MOV000273379_700X466.mp4,"우편이나 전신, 전화 따위로 정보나 의사를 전달함."
국적,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191004/624342/MOV000240941_700X466.mp4,한 나라의 구성원이 되는 자격.
국가유공자,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221024/1043993/MOV000361118_700X466.mp4,"나라를 위하여 공헌하거나 희생한 사람. 순국선열, 애국지사, 전몰군경, 상이군인, 국가 사회 발전을 위한 특별 공로 순직자 등이 해당한다."
관료 내각,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288053/MOV000294625_700X466.mp4,의회나 정당에 소속하지 않은 관료들로 조직된 내각.
건강장애,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221021/1043259/MOV000361113_700X466.mp4,"질환 상태에 있거나, 주로 건강과 질병 사이의 상태에 있음을 지칭하는 말."
교서권,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288066/MOV000294694_700X466.mp4,대통령이 교서를 의회에 보내는 권리. 거부권과 더불어 미국 대통령의 입법 참여권 가운데 하나이다.
유출,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221107/1049654/MOV000361253_700X466.mp4,"밖으로 흘러 나가거나 흘려 내보냄.,귀중한 물품이나 정보 따위가 불법적으로 나라나 조직의 밖으로 나가 버림. 또는 그것을 내보냄."
유포,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727740/MOV000234446_700X466.mp4,세상에 널리 퍼짐. 또는 세상에 널리 퍼뜨림.
가족설,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251953/MOV000264979_700X466.mp4,국가는 가족의 확대와 발전에 의하여 이루어졌다고 하는 학설.
공화 제도,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252043/MOV000265409_700X466.mp4,"공화 정치를 하는 정치 제도. 간접 민주제, 직접 민주제, 귀족제, 과두 정치 따위가 있으나 일반적으로는 간접 민주제만을 이른다."
검찰청,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221021/1043257/MOV000361111_700X466.mp4,"중앙 행정 기관의 하나. 법무부 소속으로 검사의 검찰 사무를 맡아본다. 대검찰청, 고등 검찰청, 지방 검찰청이 있으며, 검사는 소속 검찰청의 관할 구역 안에서 직무를 수행하는 것이 원칙이다."
골,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732296/MOV000253655_700X466.mp4,"척추동물의 살 속에서 그 몸을 지탱하는 단단한 물질. 표면은 뼈막으로 덮여 있고, 속에는 혈구를 만드는 골수로 채워져 있다."
군법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221021/1043085/MOV000361061_700X466.mp4,군 내부에 적용하는 형법.
기관,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221021/1043253/MOV000361107_700X466.mp4,"일정한 모양과 생리 기능을 가지고 있는 생물체의 부분. 형태적으로 독립되어 있으며, 여러 개의 조직이 일정한 질서로 결합되어 이루어지며 이들이 모여 기관계를 형성하고 기관 혹은 기관계가 모여 개체를 구성한다."
금부처,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221107/1049652/MOV000361251_700X466.mp4,황금으로 만들거나 겉에 금빛 칠을 한 부처.
핵 확산 방지 조약,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289454/MOV000301940_700X466.mp4,핵무기를 보유하지 아니한 국가가 새로 핵무기를 개발하는 일과 핵보유국이 비보유국에 핵무기를 인도하는 일을 동시에 방지하는 조약. 1968년에 국제 연합 군축 위원회에서 만든 미ㆍ소 공동의 조약안을 국제 연합 총회가 채택하여 1970년 3월에 발효되었다.
합병 선거,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289440/MOV000301865_700X466.mp4,둘 이상의 선거를 하나의 선거에 합병하여 시행하는 일. 투표자는 합병된 여러 선거에 대하여 한 번의 의사 표시를 한다. 소선거구제의 단점을 피하고 소수 대표의 취지를 실천하는 효과가 있다.
판무관,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289369/MOV000301474_700X466.mp4,"정치, 외교 따위의 업무를 처리하도록 보호국이나 식민지에 파견하는 관리."
과속운전,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1040110/MOV000360593_700X466.mp4,자동차 따위의 주행 속도를 너무 빠르게 하는 운전.
평균 지권,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289388/MOV000301576_700X466.mp4,"중국에서 토지 소유의 균등화를 꾀한 민생주의 정책. 중국의 삼민주의에 따른 민생주의적 정책의 하나로, 주로 도시에서 지가(地價)가 뛰어올라 일부 사람이 부당한 이익을 얻는 것을 막기 위하여 토지 소유의 균등화를 꾀한 것이다."
해운 정책,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289450/MOV000301912_700X466.mp4,해운 사업에 관한 국가 정책.
해양 정치학,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289448/MOV000301899_700X466.mp4,"해양, 영해, 국제 해협을 둘러싼 국제 관계와 해저 자원 개발을 위한 국제 경쟁 및 이와 관련된 국제 분쟁 따위를 연구하는 학문."
노이로제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/263094/MOV000269838_700X466.mp4,"심리적 원인에 의하여 정신 증상이나 신체 증상이 나타나는 병. 주로 두통ㆍ가슴 두근거림ㆍ불면 따위의 증상이 나타나며, 불안 신경증ㆍ히스테리ㆍ강박 신경증ㆍ공포증ㆍ망상 반응 따위가 있다."
피보호국,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289427/MOV000301791_700X466.mp4,"다른 국가의 보호 아래에 있는 국가. 보호 국가와 맺은 보호 조약에 따라, 그 국가에 의하여 내정을 비롯하여 특히 외교 관계에 제한을 받는다."
평등 선거제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289390/MOV000301584_700X466.mp4,각 선거인의 선거권의 가치가 평등하게 취급되는 선거 제도.
국권당,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288115/MOV000294922_700X466.mp4,국가의 권력이나 통치권을 확장하고 강화할 목적으로 모인 당파.
신호,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221019/1042435/MOV000360977_700X466.mp4,"일정한 부호, 표지, 소리, 몸짓 따위로 특정한 내용 또는 정보를 전달하거나 지시를 함. 또는 그렇게 하는 데 쓰는 부호."
핵 안보 정상 회의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289452/MOV000301925_700X466.mp4,2009년 4월 체코 프라하에서 오바마 미국 대통령이 핵 테러를 국제 안보의 최대 위협으로 지목하고 핵 안보 강화의 필요성을 강조하며 만든 회의.
합중국,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289442/MOV000301872_700X466.mp4,둘 이상의 국가나 주가 독립된 법 체계와 제도를 유지하면서 하나의 주권 밑에 연합하여 대외적으로 단일한 외교권을 행사하는 국가 형태.
